cx,cy,angle,tx,ty,hit,miss
6,5,118,12,17,0,1
15,6,111,10,18,1,0
8,3,89,10,14,1,0
5,1,59,9,14,0,1
13,7,21,4,14,0,1
18,5,141,7,14,1,0
17,5,89,16,19,1,0
18,7,81,20,14,1,0
7,0,136,19,15,0,1
4,1,109,8,17,0,1
17,5,129,13,10,1,0
14,7,153,15,14,0,1
15,1,33,5,11,0,1
2,8,54,9,18,1,0
16,9,139,6,19,1,0
13,9,60,9,19,0,1
3,2,90,3,10,1,0
0,9,20,8,14,1,0
13,9,122,10,12,1,0
12,1,110,7,17,1,0
18,0,126,4,16,1,0
12,8,17,18,10,1,0
6,9,134,2,16,1,0
15,4,74,17,18,1,0
15,1,160,18,10,0,1
13,0,85,11,16,0,1
4,6,128,2,13,0,1
0,9,41,4,10,1,0
20,5,112,9,13,0,1
18,6,58,14,10,0,1
6,3,136,1,17,0,1
6,3,49,5,13,0,1
19,8,126,13,17,1,0
18,2,58,15,10,0,1
19,5,43,3,16,0,1
5,2,84,8,15,1,0
17,9,137,13,10,1,0
4,6,77,11,15,0,1
16,3,175,12,10,0,1
6,2,96,5,13,1,0
16,4,134,6,15,1,0
16,4,178,19,13,0,1
6,4,53,4,18,0,1
10,8,157,6,10,1,0
9,4,95,5,10,0,1
17,6,162,6,10,1,0
2,3,98,14,10,0,1
12,4,54,2,19,0,1
10,3,137,12,15,0,1
11,7,101,18,15,0,1
10,2,108,10,13,0,1
14,0,165,3,15,0,1
10,6,26,18,12,1,0
20,1,107,17,16,1,0
3,6,97,5,16,0,1
7,6,129,12,13,0,1
20,0,41,6,11,0,1
9,5,119,5,18,0,1
4,9,132,19,16,0,1
5,3,125,13,16,0,1
12,6,7,9,18,0,1
9,5,22,17,15,0,1
18,8,74,20,17,1,0
14,1,115,15,10,0,1
12,2,122,1,19,1,0
15,0,167,14,17,0,1
13,2,14,13,15,0,1
18,3,3,11,10,0,1
16,8,93,16,15,1,0
12,2,105,7,14,1,0
15,9,176,10,16,0,1
16,2,105,12,12,1,0
0,7,56,4,11,1,0
2,1,91,2,10,1,0
11,1,64,20,19,1,0
1,1,177,14,18,0,1
18,0,91,5,10,0,1
0,4,125,15,10,0,1
13,8,92,13,12,1,0
17,1,25,14,12,0,1
15,9,82,9,12,0,1
12,0,135,15,13,0,1
11,5,85,0,10,0,1
2,8,11,8,14,0,1
5,2,80,9,15,1,0
12,2,59,3,10,0,1
1,9,32,13,12,0,1
3,4,37,17,13,1,0
13,3,53,18,11,1,0
3,9,157,9,15,0,1
10,1,144,17,13,0,1
7,4,87,7,15,1,0
19,6,149,2,16,1,0
16,3,111,13,14,1,0
20,2,156,5,12,0,1
17,7,28,8,15,0,1
16,8,142,5,18,1,0
18,1,154,0,16,0,1
14,9,59,16,16,1,0
14,0,144,14,14,0,1
8,0,102,3,18,1,0
7,3,92,14,18,0,1
14,5,123,6,16,1,0
10,1,53,1,19,0,1
15,4,179,17,15,0,1
4,8,97,2,16,1,0
8,0,45,18,16,0,1
18,6,146,7,12,1,0
17,0,100,14,13,1,0
19,3,134,6,17,1,0
9,8,167,15,13,0,1
16,7,138,11,14,1,0
13,5,144,18,18,0,1
20,6,156,8,11,1,0
8,0,176,8,18,0,1
0,0,65,5,10,1,0
10,0,133,20,18,0,1
8,9,120,8,11,1,0
2,1,162,14,15,0,1
13,3,156,9,19,0,1
12,4,4,20,10,0,1
2,3,144,2,17,0,1
7,4,91,1,15,0,1
10,8,85,11,19,1,0
13,5,179,17,18,0,1
10,1,70,17,10,0,1
14,1,14,11,18,0,1
10,5,41,16,12,1,0
4,3,87,19,17,0,1
5,5,105,3,11,1,0
3,6,26,16,11,1,0
7,9,104,9,14,0,1
14,0,50,14,17,0,1
9,6,162,16,13,0,1
6,5,119,7,17,0,1
6,1,91,19,12,0,1
8,0,62,16,17,1,0
0,6,22,17,13,1,0
4,2,85,5,16,1,0
19,3,140,14,11,0,1
14,2,114,13,19,0,1
17,9,130,12,12,1,0
0,7,128,18,16,0,1
5,2,75,9,13,1,0
11,8,24,19,15,0,1
14,3,80,13,10,0,1
9,2,29,17,16,0,1
18,9,153,0,16,1,0
14,1,171,5,17,0,1
15,3,104,14,18,0,1
16,9,105,5,16,0,1
18,7,79,9,12,0,1
20,9,163,20,10,1,0
15,9,89,14,14,1,0
9,3,180,1,12,0,1
11,6,141,4,13,1,0
17,6,48,0,11,0,1
3,9,111,1,11,1,0
2,1,71,7,17,1,0
12,7,37,15,14,0,1
2,2,17,12,15,0,1
6,8,114,3,11,1,0
4,2,98,1,16,1,0
7,8,47,8,13,0,1
20,1,83,18,15,0,1
8,5,119,0,19,1,0
2,1,60,15,10,0,1
12,1,114,4,18,1,0
20,0,125,3,15,0,1
4,0,52,1,12,0,1
6,7,113,16,13,0,1
19,3,130,10,15,1,0
8,5,36,18,11,1,0
0,7,12,10,11,1,0
6,2,46,19,19,0,1
4,6,50,7,11,1,0
17,9,146,4,17,1,0
16,4,23,5,19,0,1
18,9,95,16,10,1,0
7,8,111,17,17,0,1
10,4,56,14,10,1,0
12,6,83,8,10,0,1
0,2,27,19,11,1,0
20,9,143,9,18,1,0
12,6,36,20,15,0,1
20,2,29,2,17,0,1
10,1,124,2,16,1,0
17,8,72,20,16,1,0
3,7,55,11,14,0,1
9,1,53,20,16,1,0
1,9,85,18,19,0,1
13,0,134,8,10,0,1
19,6,66,19,10,1,0
0,8,180,3,16,0,1
1,0,77,4,14,1,0
15,5,52,19,13,1,0
17,5,138,4,18,1,0
6,2,102,19,16,0,1
5,3,52,13,15,1,0
8,6,158,0,11,1,0
10,7,39,13,17,0,1
3,3,30,0,18,0,1
4,1,171,1,13,0,1
19,9,68,5,13,0,1
6,1,54,15,12,1,0
3,7,130,0,10,1,0
12,7,92,15,14,0,1
17,6,30,1,10,0,1
12,9,168,17,14,0,1
3,5,32,16,12,1,0
17,7,124,16,11,1,0
11,1,84,6,17,0,1
8,8,33,18,13,1,0
3,2,94,17,16,0,1
6,5,96,5,12,1,0
13,3,48,14,13,0,1
7,2,3,12,12,0,1
13,5,91,13,15,1,0
17,6,162,2,13,0,1
9,8,24,3,14,0,1
3,6,105,3,10,1,0
0,8,70,1,10,1,0
8,5,102,9,12,0,1
3,9,74,3,12,1,0
16,9,149,0,17,1,0
19,3,158,5,16,0,1
10,8,140,8,11,1,0
10,5,34,2,15,0,1
15,0,92,18,19,0,1
3,2,178,9,14,0,1
11,9,6,2,11,0,1
12,8,59,20,17,0,1
12,2,136,1,12,1,0
17,5,150,11,17,0,1
1,8,81,0,17,0,1
0,5,94,1,14,1,0
1,4,150,1,11,0,1
20,3,51,3,12,0,1
19,0,146,18,17,0,1
17,1,106,14,17,1,0
7,9,160,6,11,1,0
16,3,56,16,18,0,1
4,5,174,3,16,0,1
7,8,59,3,10,0,1
9,6,88,3,10,0,1
3,0,66,11,18,1,0
9,4,145,20,18,0,1
12,8,34,3,14,0,1
3,3,164,18,12,0,1
11,5,92,12,18,1,0
1,2,32,4,18,0,1
17,7,92,18,16,1,0
6,3,78,10,14,1,0
8,9,143,4,10,1,0
1,2,145,12,14,0,1
15,4,124,20,17,0,1
8,0,25,1,14,0,1
12,5,71,9,18,0,1
18,8,90,13,15,0,1
12,6,147,5,12,1,0
6,9,98,17,13,0,1
19,9,116,14,16,1,0
11,4,44,2,15,0,1
18,2,130,5,13,0,1
11,6,104,0,19,0,1
17,1,130,8,14,1,0
0,2,119,9,17,0,1
3,2,17,18,13,0,1
1,0,27,1,13,0,1
14,1,113,8,11,1,0
8,2,34,11,16,0,1
16,9,92,17,18,1,0
5,6,143,9,10,0,1
9,9,62,15,19,1,0
20,4,133,6,16,0,1
12,5,51,14,12,0,1
5,8,110,2,13,1,0
2,2,180,4,13,0,1
17,8,173,9,13,0,1
15,7,2,9,12,0,1
12,4,130,1,10,0,1
1,6,106,0,11,1,0
3,1,94,12,18,0,1
11,3,73,12,10,1,0
14,9,81,4,11,0,1
12,8,169,4,14,0,1
13,3,94,10,19,1,0
13,5,14,4,12,0,1
16,7,114,1,11,0,1
11,9,87,11,18,1,0
2,5,71,5,19,1,0
17,0,49,10,12,0,1
3,5,43,11,13,1,0
1,9,102,12,11,0,1
12,9,135,16,11,0,1
16,9,135,14,11,1,0
6,7,38,20,19,1,0
10,4,77,1,10,0,1
7,9,131,3,16,1,0
3,0,83,15,19,0,1
9,3,156,6,19,0,1
4,5,23,19,11,1,0
15,7,115,12,11,1,0
2,2,140,3,13,0,1
4,8,28,8,12,1,0
14,4,26,9,15,0,1
0,9,7,15,15,0,1
20,6,3,1,10,0,1
2,4,87,1,15,1,0
8,3,122,0,14,1,0
10,3,46,20,15,1,0
4,6,80,6,11,1,0
14,7,105,15,10,1,0
8,8,167,17,13,0,1
1,4,40,9,12,1,0
0,8,0,7,10,1,0
13,8,164,6,10,1,0
4,8,115,7,14,0,1
18,3,84,15,12,0,1
2,3,157,9,12,0,1
20,9,18,13,18,0,1
15,4,103,12,17,1,0
2,0,11,10,13,0,1
6,6,127,1,11,1,0
7,6,36,1,14,0,1
14,1,108,18,18,0,1
3,5,116,0,11,1,0
16,4,47,20,11,1,0
5,0,82,10,13,0,1
17,6,140,17,10,0,1
5,1,22,20,10,0,1
16,3,159,17,14,0,1
1,5,151,15,14,0,1
4,6,57,10,18,1,0
4,0,40,16,15,0,1
0,5,58,8,18,1,0
17,7,86,17,15,1,0
3,4,87,4,16,1,0
19,3,133,5,18,1,0
14,8,135,16,16,0,1
10,2,16,18,12,0,1
6,0,150,16,17,0,1
0,9,173,11,18,0,1
7,4,41,15,12,1,0
0,3,59,6,16,1,0
1,7,62,8,17,1,0
1,8,61,11,19,0,1
8,3,2,15,15,0,1
11,9,15,2,16,0,1
14,7,49,16,11,1,0
19,5,26,6,17,0,1
16,4,53,9,12,0,1
7,9,102,1,10,0,1
5,3,7,6,11,0,1
1,5,87,18,14,0,1
18,5,56,0,13,0,1
16,2,127,5,15,1,0
9,4,88,6,15,0,1
14,6,164,12,11,0,1
5,5,64,3,12,0,1
3,0,93,17,10,0,1
10,0,143,5,14,0,1
1,1,170,16,12,0,1
16,5,111,14,14,1,0
11,0,6,1,10,0,1
5,7,82,6,19,1,0
1,9,97,0,19,1,0
2,9,41,13,16,1,0
5,7,54,5,19,0,1
4,6,144,8,11,0,1
20,7,122,20,18,0,1
19,3,135,5,18,1,0
7,5,77,9,19,1,0
9,9,164,2,17,0,1
9,8,30,1,14,0,1
4,0,152,11,17,0,1
13,0,26,5,16,0,1
0,0,13,10,10,0,1
3,1,59,7,10,1,0
15,8,82,12,16,0,1
11,0,129,16,12,0,1
17,5,103,15,17,1,0
12,9,108,10,18,1,0
20,1,97,16,10,0,1
12,2,23,2,16,0,1
17,3,136,4,13,1,0
8,9,85,1,13,0,1
5,6,98,15,12,0,1
3,2,68,16,15,0,1
3,3,47,8,11,1,0
15,5,97,16,19,0,1
19,3,6,7,11,0,1
1,8,1,11,10,1,0
5,3,111,16,18,0,1
0,9,152,20,18,0,1
12,9,113,8,18,1,0
8,4,89,8,10,1,0
13,4,70,19,15,1,0
7,3,72,8,11,1,0
14,2,74,9,16,0,1
1,9,38,15,19,1,0
1,2,86,11,10,0,1
9,4,148,15,18,0,1
3,5,89,5,12,1,0
13,2,55,10,17,0,1
0,8,124,3,17,0,1
19,7,147,11,11,1,0
10,7,116,8,18,0,1
17,4,81,12,11,0,1
18,4,133,16,15,0,1
5,8,96,4,13,1,0
17,7,137,6,18,1,0
11,4,179,3,10,0,1
18,1,157,10,10,0,1
17,4,33,10,13,0,1
1,6,30,20,10,0,1
9,7,154,1,17,0,1
6,9,102,13,11,0,1
10,2,120,13,10,0,1
4,8,85,4,19,1,0
6,7,18,11,10,1,0
20,6,148,7,12,1,0
1,5,28,5,14,0,1
17,3,102,2,15,0,1
13,7,134,0,18,1,0
11,9,154,19,16,0,1
0,7,64,3,12,1,0
12,3,56,18,11,1,0
2,1,87,3,17,1,0
16,3,98,6,19,0,1
11,6,137,12,10,0,1
6,4,76,3,13,0,1
9,9,131,0,17,1,0
20,7,148,14,10,1,0
9,5,8,20,19,0,1
2,8,68,4,18,1,0
15,2,111,13,10,1,0
5,8,95,1,19,0,1
3,5,50,15,18,1,0
2,7,94,0,10,1,0
6,7,38,16,13,1,0
20,1,114,14,12,1,0
18,6,179,3,13,0,1
14,9,89,13,15,1,0
8,3,147,2,15,0,1
16,2,69,8,12,0,1
13,2,42,11,16,0,1
15,3,61,19,19,0,1
7,1,43,3,17,0,1
1,7,129,1,13,0,1
8,3,108,12,12,0,1
11,4,46,8,11,0,1
6,1,49,3,13,0,1
0,8,65,17,16,0,1
13,9,114,9,18,1,0
15,0,154,2,14,0,1
8,2,123,4,18,0,1
5,8,43,17,19,1,0
0,5,57,8,16,1,0
5,4,146,18,13,0,1
2,8,109,1,11,1,0
19,6,120,17,10,1,0
18,0,52,19,10,0,1
5,6,75,5,13,1,0
3,2,144,2,12,0,1
9,3,4,4,14,0,1
19,9,85,7,18,0,1
4,5,55,14,19,1,0
12,3,168,19,16,0,1
12,6,165,1,11,1,0
10,1,75,0,16,0,1
5,2,63,12,14,1,0
